order_id,customer_age,order_value,items_in_order,region,last_updated
5053,40.0,136.84,3.0,West,2026-06-29
5054,,115.26,4.0,South,2026-06-23
5055,38.0,139.59,3.0,East,2026-07-14
5056,51.0,339.92,2.0,West,2026-07-21
5057,,499.58,2.0,North,2026-07-07
5058,66.0,117.15,2.0,West,2026-07-01
5059,,338.03,4.0,North,2026-07-27
5060,25.0,,2.0,South,2026-07-16
5061,44.0,225.91,5.0,North,2026-07-06
5062,42.0,132.6,1.0,North,2026-06-24
5063,,177.41,2.0,South,2026-07-18
5064,31.0,159.69,3.0,North,2026-07-03
5065,53.0,120.36,5.0,South,2026-06-29
5066,,41.46,2.0,North,2026-07-02
5067,29.0,253.37,8.0,East,2026-07-24
5068,52.0,223.78,4.0,North,2026-07-28
5069,,337.75,1.0,North,2026-07-25
5070,50.0,286.62,6.0,North,2026-06-29
5071,22.0,100.22,7.0,East,2026-07-09
5072,31.0,115.12,3.0,West,2026-07-17
5073,53.0,110.72,4.0,East,2026-07-31
5074,46.0,184.0,3.0,East,2026-06-29
5075,70.0,46.26,7.0,East,2026-07-13
5076,,181.08,5.0,South,2026-06-24
5077,49.0,223.51,5.0,South,2026-07-10
5078,88.0,98.55,2.0,North,2026-07-27
5079,36.0,247.78,5.0,West,2026-06-26
5080,34.0,504.63,2.0,South,2026-08-01
5081,47.0,199.46,2.0,East,2026-07-15
5082,46.0,,5.0,North,2026-06-28
5083,59.0,178.51,7.0,South,2026-07-12
5084,49.0,59.23,6.0,North,2026-06-19
5085,36.0,305.75,5.0,South,2026-07-06
5086,50.0,170.36,3.0,East,2026-06-22
5087,84.0,228.86,3.0,South,2026-06-24
5088,65.0,190.48,3.0,East,2026-07-13
5089,18.0,166.9,4.0,North,2026-06-24
5090,45.0,141.93,6.0,South,2026-06-25
5091,35.0,199.78,2.0,South,2026-07-20
5092,56.0,223.96,1.0,South,2026-07-31
5093,45.0,266.81,2.0,North,2026-06-28
5094,74.0,97.86,5.0,East,2026-07-30
5095,60.0,109.56,2.0,West,2026-06-21
5096,,108.79,2.0,West,2026-07-06
5097,50.0,90.88,2.0,North,2026-07-04
5098,46.0,161.92,5.0,South,2026-07-09
5099,52.0,158.33,3.0,South,2026-06-19
5100,65.0,428.48,4.0,East,2026-06-25
5101,54.0,210.87,4.0,North,2026-07-02
5102,42.0,61.22,6.0,East,2026-07-22
5103,65.0,283.51,5.0,South,2026-07-06
5104,50.0,185.05,,West,2026-07-12
5105,46.0,165.63,3.0,North,2026-06-30
5106,36.0,193.7,3.0,South,2026-06-18
5107,39.0,230.63,2.0,South,2026-07-23
5108,38.0,252.77,2.0,West,2026-07-19
5109,18.0,77.27,3.0,East,2026-06-18
5110,61.0,408.43,1.0,North,2026-07-14
5111,55.0,113.05,4.0,North,2026-06-23
5112,44.0,117.7,4.0,East,2026-07-05
5113,62.0,166.55,5.0,South,2026-07-22
5114,,177.38,4.0,North,2026-06-18
5115,52.0,100.28,2.0,West,2026-06-26
5116,18.0,58.72,3.0,West,2026-07-24
5117,44.0,,4.0,South,2026-07-06
5118,54.0,155.03,4.0,South,2026-07-01
5119,70.0,133.17,3.0,West,2026-07-06
5120,73.0,172.89,2.0,North,2026-07-14
