order_id,customer_age,order_value,items_in_order,region,last_updated
142,26.0,59.19,5,East,2026-02-26
143,18.0,124.63,3,South,2026-02-26
144,41.0,25.31,2,South,2026-02-26
145,28.0,89.53,3,South,2026-02-27
146,33.0,24.04,7,South,2026-02-26
147,31.0,238.36,3,South,2026-02-27
148,36.0,52.97,4,South,2026-03-01
149,51.0,22.48,2,East,2026-03-01
150,40.0,48.64,3,West,2026-02-25
151,36.0,89.93,6,West,2026-02-25
152,26.0,109.1,7,North,2026-02-27
153,18.0,176.07,1,South,2026-03-01
154,32.0,43.76,5,North,2026-02-26
155,37.0,128.63,3,South,2026-03-01
156,59.0,13.51,8,North,2026-02-28
157,40.0,29.53,5,North,2026-02-28
158,50.0,18.97,2,East,2026-03-01
159,32.0,37.22,3,South,2026-02-25
160,24.0,124.58,4,West,2026-02-27
161,26.0,44.69,4,North,2026-02-28
162,29.0,52.2,4,North,2026-02-27
163,64.0,91.73,4,South,2026-03-01
164,28.0,105.84,5,North,2026-02-27
165,48.0,53.54,2,North,2026-02-27
166,27.0,29.34,3,West,2026-02-28
167,49.0,212.91,4,North,2026-02-25
168,43.0,53.83,4,North,2026-02-28
169,36.0,58.37,3,East,2026-03-01
170,38.0,64.5,8,South,2026-02-27
171,30.0,113.96,4,East,2026-02-25
172,43.0,17.37,2,South,2026-02-28
173,33.0,268.62,6,West,2026-03-01
174,23.0,57.06,3,North,2026-02-25
175,23.0,116.72,5,South,2026-02-27
176,40.0,22.75,1,East,2026-03-01
177,57.0,84.96,4,West,2026-02-26
178,40.0,241.71,5,South,2026-02-28
179,37.0,219.61,5,East,2026-02-25
180,41.0,114.55,10,North,2026-02-28
181,54.0,34.99,2,North,2026-02-27
182,41.0,169.8,5,North,2026-02-27
183,33.0,13.39,6,East,2026-02-28
184,51.0,33.84,10,North,2026-02-27
185,43.0,70.36,5,East,2026-03-01
186,56.0,14.85,6,North,2026-02-26
187,40.0,48.55,3,West,2026-02-26
188,23.0,130.46,4,West,2026-02-25
189,22.0,40.7,2,North,2026-02-28
190,58.0,134.79,2,North,2026-02-28
191,59.0,316.03,3,North,2026-02-27
192,36.0,99.85,6,West,2026-02-26
193,33.0,133.16,4,North,2026-02-25
194,56.0,173.75,1,South,2026-03-01
195,25.0,52.44,7,South,2026-02-28
196,27.0,130.96,5,East,2026-02-28
197,46.0,51.38,6,South,2026-02-28
198,33.0,94.77,2,South,2026-02-27
199,38.0,145.02,2,West,2026-02-25
200,36.0,36.49,3,North,2026-03-01
201,42.0,4.83,4,West,2026-02-25
202,55.0,33.41,7,North,2026-02-26
203,39.0,160.02,4,South,2026-02-26
204,46.0,29.64,2,West,2026-02-26
205,18.0,153.95,5,East,2026-03-01
206,37.0,33.56,4,East,2026-02-26
207,28.0,62.85,4,North,2026-02-28
208,23.0,74.21,5,South,2026-02-27
209,27.0,29.51,4,South,2026-02-26
210,34.0,63.41,3,South,2026-02-26
211,49.0,15.9,4,South,2026-02-28
212,22.0,56.4,7,South,2026-02-28
213,38.0,69.55,5,South,2026-02-27
214,32.0,5.21,7,North,2026-03-01
215,34.0,33.15,2,South,2026-02-26
216,50.0,92.64,2,North,2026-03-01
217,44.0,26.35,4,West,2026-02-27
218,54.0,104.14,4,East,2026-02-26
219,36.0,111.61,5,North,2026-03-01
220,30.0,92.35,7,East,2026-02-25
221,35.0,129.87,3,West,2026-02-28
222,41.0,14.77,8,North,2026-03-01
223,40.0,149.55,8,North,2026-02-26
224,25.0,29.96,3,North,2026-02-27
225,39.0,80.9,6,North,2026-02-26
226,41.0,235.4,2,East,2026-02-26
227,68.0,55.41,4,West,2026-02-27
228,61.0,75.67,3,North,2026-02-25
229,28.0,30.14,3,East,2026-02-28
230,35.0,233.86,2,North,2026-02-27
231,20.0,33.21,2,East,2026-03-01
232,31.0,118.63,1,East,2026-02-26
233,42.0,173.54,4,South,2026-02-28
234,52.0,126.73,2,North,2026-02-26
235,29.0,96.59,3,East,2026-02-25
236,30.0,79.96,4,West,2026-02-25
237,18.0,22.51,6,North,2026-02-25
238,36.0,226.96,4,North,2026-03-01
239,25.0,90.83,1,North,2026-03-01
240,32.0,75.7,3,East,2026-02-25
241,27.0,27.72,7,East,2026-02-28
242,37.0,78.56,4,East,2026-03-01
243,18.0,72.06,3,East,2026-02-28
244,20.0,235.4,4,West,2026-02-25
245,64.0,75.67,2,West,2026-02-28
246,23.0,77.6,3,North,2026-03-01
247,25.0,28.05,6,East,2026-02-26
248,60.0,39.47,6,North,2026-03-01
249,73.0,108.79,3,South,2026-02-28
250,24.0,11.72,6,West,2026-03-01
251,34.0,148.99,3,East,2026-02-26
252,42.0,151.77,6,West,2026-02-27
253,59.0,35.84,5,South,2026-02-25
254,26.0,96.85,4,South,2026-02-28
255,35.0,177.4,3,South,2026-02-28
256,47.0,67.58,4,North,2026-03-01
257,43.0,57.95,7,North,2026-02-28
258,33.0,63.86,4,South,2026-02-27
259,36.0,90.67,2,North,2026-03-01
260,22.0,44.11,2,West,2026-02-27
261,35.0,53.99,4,North,2026-02-25
262,35.0,92.02,1,North,2026-02-26
263,41.0,50.37,4,East,2026-02-26
264,31.0,25.72,1,North,2026-02-25
265,44.0,10.5,3,West,2026-02-26
266,50.0,76.81,5,East,2026-02-26
267,40.0,169.96,4,North,2026-02-25
268,42.0,100.43,3,East,2026-03-01
269,39.0,26.71,8,East,2026-02-25
270,38.0,39.21,3,East,2026-02-28
271,29.0,57.6,3,West,2026-02-26
272,42.0,240.39,6,East,2026-02-25
273,37.0,249.04,2,East,2026-02-27
274,63.0,229.97,4,South,2026-03-01
275,57.0,82.87,5,East,2026-02-28
276,43.0,452.72,5,West,2026-02-27
277,29.0,40.96,4,East,2026-02-25
278,25.0,55.88,2,East,2026-02-25
279,52.0,141.14,4,South,2026-02-27
280,41.0,92.38,4,East,2026-02-25
281,44.0,96.3,6,West,2026-02-27
282,18.0,31.19,3,North,2026-02-27
283,49.0,71.66,3,North,2026-02-25
284,43.0,41.49,5,South,2026-02-26
285,25.0,20.93,5,South,2026-02-27
286,32.0,45.89,3,East,2026-02-27
287,41.0,92.4,2,North,2026-02-26
288,39.0,125.44,3,South,2026-02-26
289,34.0,10.04,2,East,2026-02-27
290,37.0,74.29,2,East,2026-03-01
291,35.0,69.15,3,East,2026-03-01
292,40.0,88.88,3,East,2026-03-01
293,56.0,27.2,2,East,2026-02-27
294,18.0,27.73,6,East,2026-02-26
295,35.0,173.06,7,East,2026-02-25
296,40.0,36.27,4,South,2026-02-28
297,42.0,53.69,4,East,2026-02-26
298,34.0,58.31,1,North,2026-02-26
299,18.0,42.18,5,North,2026-03-01
300,42.0,106.4,3,South,2026-02-28
